Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate,rate_usage,rate_type,rate_basis_id,rate_basis_value,rate_availability
TERM30,1,0,18,18,PF,100000,300000,1.52,,,,,
TERM30,1,0,19,19,PF,100000,300000,1.56,,,,,
TERM30,1,0,20,20,PF,100000,300000,1.59,,,,,
TERM30,1,0,21,21,PF,100000,300000,1.61,,,,,
TERM30,1,0,22,22,PF,100000,300000,1.64,,,,,
TERM30,1,0,23,23,PF,100000,300000,1.66,,,,,
TERM30,1,0,24,24,PF,100000,300000,1.69,,,,,
TERM30,1,0,25,25,PF,100000,300000,1.71,,,,,
TERM30,1,0,26,26,PF,100000,300000,1.73,,,,,
TERM30,1,0,27,27,PF,100000,300000,1.76,,,,,
TERM30,1,0,28,28,PF,100000,300000,1.78,,,,,
TERM30,1,0,29,29,PF,100000,300000,1.81,,,,,
TERM30,1,0,30,30,PF,100000,300000,1.83,,,,,
TERM30,1,0,31,31,PF,100000,300000,1.95,,,,,
TERM30,1,0,32,32,PF,100000,300000,2.07,,,,,
TERM30,1,0,33,33,PF,100000,300000,2.18,,,,,
TERM30,1,0,34,34,PF,100000,300000,2.3,,,,,
TERM30,1,0,35,35,PF,100000,300000,2.42,,,,,
TERM30,1,0,36,36,PF,100000,300000,2.54,,,,,
TERM30,1,0,37,37,PF,100000,300000,2.66,,,,,
TERM30,1,0,38,38,PF,100000,300000,2.77,,,,,
TERM30,1,0,39,39,PF,100000,300000,2.89,,,,,
TERM30,1,0,40,40,PF,100000,300000,3.01,,,,,
TERM30,1,0,41,41,PF,100000,300000,3.33,,,,,
TERM30,1,0,42,42,PF,100000,300000,3.65,,,,,
TERM30,1,0,43,43,PF,100000,300000,3.97,,,,,
TERM30,1,0,44,44,PF,100000,300000,4.29,,,,,
TERM30,1,0,45,45,PF,100000,300000,4.61,,,,,
TERM30,1,0,46,46,PF,100000,300000,4.92,,,,,
TERM30,1,0,47,47,PF,100000,300000,5.24,,,,,
TERM30,1,0,48,48,PF,100000,300000,5.56,,,,,
TERM30,1,0,49,49,PF,100000,300000,5.88,,,,,
TERM30,1,0,50,50,PF,100000,300000,6.2,,,,,
TERM30,1,0,18,18,ST,100000,300000,1.7,,,,,
TERM30,1,0,19,19,ST,100000,300000,1.75,,,,,
TERM30,1,0,20,20,ST,100000,300000,1.79,,,,,
TERM30,1,0,21,21,ST,100000,300000,1.83,,,,,
TERM30,1,0,22,22,ST,100000,300000,1.88,,,,,
TERM30,1,0,23,23,ST,100000,300000,1.92,,,,,
TERM30,1,0,24,24,ST,100000,300000,1.96,,,,,
TERM30,1,0,25,25,ST,100000,300000,2.01,,,,,
TERM30,1,0,26,26,ST,100000,300000,2.05,,,,,
TERM30,1,0,27,27,ST,100000,300000,2.09,,,,,
TERM30,1,0,28,28,ST,100000,300000,2.13,,,,,
TERM30,1,0,29,29,ST,100000,300000,2.18,,,,,
TERM30,1,0,30,30,ST,100000,300000,2.22,,,,,
TERM30,1,0,31,31,ST,100000,300000,2.38,,,,,
TERM30,1,0,32,32,ST,100000,300000,2.55,,,,,
TERM30,1,0,33,33,ST,100000,300000,2.71,,,,,
TERM30,1,0,34,34,ST,100000,300000,2.88,,,,,
TERM30,1,0,35,35,ST,100000,300000,3.04,,,,,
TERM30,1,0,36,36,ST,100000,300000,3.2,,,,,
TERM30,1,0,37,37,ST,100000,300000,3.37,,,,,
TERM30,1,0,38,38,ST,100000,300000,3.53,,,,,
TERM30,1,0,39,39,ST,100000,300000,3.7,,,,,
TERM30,1,0,40,40,ST,100000,300000,3.86,,,,,
TERM30,1,0,41,41,ST,100000,300000,4.29,,,,,
TERM30,1,0,42,42,ST,100000,300000,4.71,,,,,
TERM30,1,0,43,43,ST,100000,300000,5.14,,,,,
TERM30,1,0,44,44,ST,100000,300000,5.56,,,,,
TERM30,1,0,45,45,ST,100000,300000,5.99,,,,,
TERM30,1,0,46,46,ST,100000,300000,6.41,,,,,
TERM30,1,0,47,47,ST,100000,300000,6.84,,,,,
TERM30,1,0,48,48,ST,100000,300000,7.26,,,,,
TERM30,1,0,49,49,ST,100000,300000,7.69,,,,,
TERM30,1,0,50,50,ST,100000,300000,8.11,,,,,
TERM30,1,1,18,18,ST,100000,300000,2.65,,,,,
TERM30,1,1,19,19,ST,100000,300000,2.75,,,,,
TERM30,1,1,20,20,ST,100000,300000,2.84,,,,,
TERM30,1,1,21,21,ST,100000,300000,2.92,,,,,
TERM30,1,1,22,22,ST,100000,300000,3.01,,,,,
TERM30,1,1,23,23,ST,100000,300000,3.09,,,,,
TERM30,1,1,24,24,ST,100000,300000,3.18,,,,,
TERM30,1,1,25,25,ST,100000,300000,3.26,,,,,
TERM30,1,1,26,26,ST,100000,300000,3.34,,,,,
TERM30,1,1,27,27,ST,100000,300000,3.43,,,,,
TERM30,1,1,28,28,ST,100000,300000,3.51,,,,,
TERM30,1,1,29,29,ST,100000,300000,3.6,,,,,
TERM30,1,1,30,30,ST,100000,300000,3.68,,,,,
TERM30,1,1,31,31,ST,100000,300000,4.01,,,,,
TERM30,1,1,32,32,ST,100000,300000,4.34,,,,,
TERM30,1,1,33,33,ST,100000,300000,4.67,,,,,
TERM30,1,1,34,34,ST,100000,300000,5,,,,,
TERM30,1,1,35,35,ST,100000,300000,5.33,,,,,
TERM30,1,1,36,36,ST,100000,300000,5.65,,,,,
TERM30,1,1,37,37,ST,100000,300000,5.98,,,,,
TERM30,1,1,38,38,ST,100000,300000,6.31,,,,,
TERM30,1,1,39,39,ST,100000,300000,6.64,,,,,
TERM30,1,1,40,40,ST,100000,300000,6.97,,,,,
TERM30,1,1,41,41,ST,100000,300000,7.71,,,,,
TERM30,1,1,42,42,ST,100000,300000,8.45,,,,,
TERM30,1,1,43,43,ST,100000,300000,9.19,,,,,
TERM30,1,1,44,44,ST,100000,300000,9.93,,,,,
TERM30,1,1,45,45,ST,100000,300000,10.67,,,,,
TERM30,1,1,46,46,ST,100000,300000,11.41,,,,,
TERM30,1,1,47,47,ST,100000,300000,12.15,,,,,
TERM30,1,1,48,48,ST,100000,300000,12.89,,,,,
TERM30,1,1,49,49,ST,100000,300000,13.63,,,,,
TERM30,1,1,50,50,ST,100000,300000,14.37,,,,,
TERM30,0,0,18,18,PF,100000,300000,1.19,,,,,
TERM30,0,0,19,19,PF,100000,300000,1.22,,,,,
TERM30,0,0,20,20,PF,100000,300000,1.25,,,,,
TERM30,0,0,21,21,PF,100000,300000,1.28,,,,,
TERM30,0,0,22,22,PF,100000,300000,1.31,,,,,
TERM30,0,0,23,23,PF,100000,300000,1.33,,,,,
TERM30,0,0,24,24,PF,100000,300000,1.36,,,,,
TERM30,0,0,25,25,PF,100000,300000,1.39,,,,,
TERM30,0,0,26,26,PF,100000,300000,1.42,,,,,
TERM30,0,0,27,27,PF,100000,300000,1.45,,,,,
TERM30,0,0,28,28,PF,100000,300000,1.47,,,,,
TERM30,0,0,29,29,PF,100000,300000,1.5,,,,,
TERM30,0,0,30,30,PF,100000,300000,1.53,,,,,
TERM30,0,0,31,31,PF,100000,300000,1.62,,,,,
TERM30,0,0,32,32,PF,100000,300000,1.71,,,,,
TERM30,0,0,33,33,PF,100000,300000,1.79,,,,,
TERM30,0,0,34,34,PF,100000,300000,1.88,,,,,
TERM30,0,0,35,35,PF,100000,300000,1.97,,,,,
TERM30,0,0,36,36,PF,100000,300000,2.06,,,,,
TERM30,0,0,37,37,PF,100000,300000,2.15,,,,,
TERM30,0,0,38,38,PF,100000,300000,2.23,,,,,
TERM30,0,0,39,39,PF,100000,300000,2.32,,,,,
TERM30,0,0,40,40,PF,100000,300000,2.41,,,,,
TERM30,0,0,41,41,PF,100000,300000,2.64,,,,,
TERM30,0,0,42,42,PF,100000,300000,2.88,,,,,
TERM30,0,0,43,43,PF,100000,300000,3.11,,,,,
TERM30,0,0,44,44,PF,100000,300000,3.34,,,,,
TERM30,0,0,45,45,PF,100000,300000,3.58,,,,,
TERM30,0,0,46,46,PF,100000,300000,3.81,,,,,
TERM30,0,0,47,47,PF,100000,300000,4.04,,,,,
TERM30,0,0,48,48,PF,100000,300000,4.27,,,,,
TERM30,0,0,49,49,PF,100000,300000,4.51,,,,,
TERM30,0,0,50,50,PF,100000,300000,4.74,,,,,
TERM30,0,0,18,18,ST,100000,300000,1.32,,,,,
TERM30,0,0,19,19,ST,100000,300000,1.37,,,,,
TERM30,0,0,20,20,ST,100000,300000,1.42,,,,,
TERM30,0,0,21,21,ST,100000,300000,1.47,,,,,
TERM30,0,0,22,22,ST,100000,300000,1.52,,,,,
TERM30,0,0,23,23,ST,100000,300000,1.56,,,,,
TERM30,0,0,24,24,ST,100000,300000,1.61,,,,,
TERM30,0,0,25,25,ST,100000,300000,1.66,,,,,
TERM30,0,0,26,26,ST,100000,300000,1.71,,,,,
TERM30,0,0,27,27,ST,100000,300000,1.76,,,,,
TERM30,0,0,28,28,ST,100000,300000,1.8,,,,,
TERM30,0,0,29,29,ST,100000,300000,1.85,,,,,
TERM30,0,0,30,30,ST,100000,300000,1.9,,,,,
TERM30,0,0,31,31,ST,100000,300000,2.04,,,,,
TERM30,0,0,32,32,ST,100000,300000,2.18,,,,,
TERM30,0,0,33,33,ST,100000,300000,2.32,,,,,
TERM30,0,0,34,34,ST,100000,300000,2.46,,,,,
TERM30,0,0,35,35,ST,100000,300000,2.6,,,,,
TERM30,0,0,36,36,ST,100000,300000,2.73,,,,,
TERM30,0,0,37,37,ST,100000,300000,2.87,,,,,
TERM30,0,0,38,38,ST,100000,300000,3.01,,,,,
TERM30,0,0,39,39,ST,100000,300000,3.15,,,,,
TERM30,0,0,40,40,ST,100000,300000,3.29,,,,,
TERM30,0,0,41,41,ST,100000,300000,3.58,,,,,
TERM30,0,0,42,42,ST,100000,300000,3.88,,,,,
TERM30,0,0,43,43,ST,100000,300000,4.17,,,,,
TERM30,0,0,44,44,ST,100000,300000,4.47,,,,,
TERM30,0,0,45,45,ST,100000,300000,4.76,,,,,
TERM30,0,0,46,46,ST,100000,300000,5.05,,,,,
TERM30,0,0,47,47,ST,100000,300000,5.35,,,,,
TERM30,0,0,48,48,ST,100000,300000,5.64,,,,,
TERM30,0,0,49,49,ST,100000,300000,5.94,,,,,
TERM30,0,0,50,50,ST,100000,300000,6.23,,,,,
TERM30,0,1,18,18,ST,100000,300000,1.78,,,,,
TERM30,0,1,19,19,ST,100000,300000,1.86,,,,,
TERM30,0,1,20,20,ST,100000,300000,1.94,,,,,
TERM30,0,1,21,21,ST,100000,300000,2.02,,,,,
TERM30,0,1,22,22,ST,100000,300000,2.1,,,,,
TERM30,0,1,23,23,ST,100000,300000,2.18,,,,,
TERM30,0,1,24,24,ST,100000,300000,2.26,,,,,
TERM30,0,1,25,25,ST,100000,300000,2.35,,,,,
TERM30,0,1,26,26,ST,100000,300000,2.43,,,,,
TERM30,0,1,27,27,ST,100000,300000,2.51,,,,,
TERM30,0,1,28,28,ST,100000,300000,2.59,,,,,
TERM30,0,1,29,29,ST,100000,300000,2.67,,,,,
TERM30,0,1,30,30,ST,100000,300000,2.75,,,,,
TERM30,0,1,31,31,ST,100000,300000,2.99,,,,,
TERM30,0,1,32,32,ST,100000,300000,3.24,,,,,
TERM30,0,1,33,33,ST,100000,300000,3.48,,,,,
TERM30,0,1,34,34,ST,100000,300000,3.73,,,,,
TERM30,0,1,35,35,ST,100000,300000,3.97,,,,,
TERM30,0,1,36,36,ST,100000,300000,4.21,,,,,
TERM30,0,1,37,37,ST,100000,300000,4.46,,,,,
TERM30,0,1,38,38,ST,100000,300000,4.7,,,,,
TERM30,0,1,39,39,ST,100000,300000,4.95,,,,,
TERM30,0,1,40,40,ST,100000,300000,5.19,,,,,
TERM30,0,1,41,41,ST,100000,300000,5.77,,,,,
TERM30,0,1,42,42,ST,100000,300000,6.36,,,,,
TERM30,0,1,43,43,ST,100000,300000,6.94,,,,,
TERM30,0,1,44,44,ST,100000,300000,7.53,,,,,
TERM30,0,1,45,45,ST,100000,300000,8.11,,,,,
TERM30,0,1,46,46,ST,100000,300000,8.69,,,,,
TERM30,0,1,47,47,ST,100000,300000,9.28,,,,,
TERM30,0,1,48,48,ST,100000,300000,9.86,,,,,
TERM30,0,1,49,49,ST,100000,300000,10.45,,,,,
TERM30,0,1,50,50,ST,100000,300000,11.03,,,,,
