UW Class,Min Age,Max Age,Height,Min Weight,Max Weight,Gender,Smoker,Plan Code
PF,0,99,142.24,38.55535145,61.23496995,,,
PF,0,99,144.78,39.91612856,62.59574706,,,
PF,0,99,147.32,41.27690567,63.95652417,,,
PF,0,99,149.86,42.63768278,65.77089365,,,
PF,0,99,152.4,43.99845989,67.13167076,,,
PF,0,99,154.94,45.81282937,68.94604024,,,
PF,0,99,157.48,47.17360648,71.21400209,,,
PF,0,99,160.02,48.53438359,73.48196394,,,
PF,0,99,162.56,50.34875307,75.74992579,,,
PF,0,99,165.1,51.70953018,78.01788764,,,
PF,0,99,167.64,53.52389966,80.73944186,,,
PF,0,99,170.18,54.88467677,83.00740371,,,
PF,0,99,172.72,56.69904625,86.1825503,,,
PF,0,99,175.26,58.51341573,88.45051215,,,
PF,0,99,177.8,59.87419284,91.17206637,,,
PF,0,99,180.34,61.68856232,92.53284348,,,
PF,0,99,182.88,63.5029318,96.16158244,,,
PF,0,99,185.42,65.31730128,98.88313666,,,
PF,0,99,187.96,67.13167076,101.6046909,,,
PF,0,99,190.5,68.94604024,104.7798375,,,
PF,0,99,193.04,70.76040972,107.0477993,,,
PF,0,99,195.58,72.5747792,110.2229459,,,
PF,0,99,198.12,74.38914868,113.3980925,,,
PF,0,99,200.66,76.65711053,115.6660544,,,
PF,0,99,203.2,78.47148001,118.8412009,,,
PF,0,99,205.74,80.28584949,122.0163475,,,
PF,0,99,208.28,82.10021897,124.7379018,,,
ST,0,99,142.24,38.55535145,67.58526313,,,
ST,0,99,144.78,39.91612856,68.94604024,,,
ST,0,99,147.32,41.27690567,70.30681735,,,
ST,0,99,149.86,42.63768278,72.12118683,,,
ST,0,99,152.4,43.99845989,73.48196394,,,
ST,0,99,154.94,45.81282937,74.84274105,,,
ST,0,99,157.48,47.17360648,77.1107029,,,
ST,0,99,160.02,48.53438359,79.83225712,,,
ST,0,99,162.56,50.34875307,82.10021897,,,
ST,0,99,165.1,51.70953018,84.82177319,,,
ST,0,99,167.64,53.52389966,87.54332741,,,
ST,0,99,170.18,54.88467677,89.81128926,,,
ST,0,99,172.72,56.69904625,92.53284348,,,
ST,0,99,175.26,58.51341573,94.80080533,,,
ST,0,99,177.8,59.87419284,97.52235955,,,
ST,0,99,180.34,61.68856232,99.7903214,,,
ST,0,99,182.88,63.5029318,102.965468,,,
ST,0,99,185.42,65.31730128,106.1406146,,,
ST,0,99,187.96,67.13167076,108.8621688,,,
ST,0,99,190.5,68.94604024,111.583723,,,
ST,0,99,193.04,70.76040972,113.8516849,,,
ST,0,99,195.58,72.5747792,117.0268315,,,
ST,0,99,198.12,74.38914868,120.2019781,,,
ST,0,99,200.66,76.65711053,122.9235323,,,
ST,0,99,203.2,78.47148001,126.0986789,,,
ST,0,99,205.74,80.28584949,129.2738255,,,
ST,0,99,208.28,82.10021897,132.448972,,,
RB,0,99,142.24,38.55535145,77.1107029,,,
RB,0,99,144.78,39.91612856,79.37866475,,,
RB,0,99,147.32,41.27690567,82.10021897,,,
RB,0,99,149.86,42.63768278,84.36818082,,,
RB,0,99,152.4,43.99845989,87.08973504,,,
RB,0,99,154.94,45.81282937,89.81128926,,,
RB,0,99,157.48,47.17360648,92.98643585,,,
RB,0,99,160.02,48.53438359,96.16158244,,,
RB,0,99,162.56,50.34875307,99.33672903,,,
RB,0,99,165.1,51.70953018,102.965468,,,
RB,0,99,167.64,53.52389966,106.594207,,,
RB,0,99,170.18,54.88467677,109.7693535,,,
RB,0,99,172.72,56.69904625,113.3980925,,,
RB,0,99,175.26,58.51341573,116.5732391,,,
RB,0,99,177.8,59.87419284,119.7483857,,,
RB,0,99,180.34,61.68856232,123.3771246,,,
RB,0,99,182.88,63.5029318,126.5522712,,,
RB,0,99,185.42,65.31730128,130.1810102,,,
RB,0,99,187.96,67.13167076,133.8097492,,,
RB,0,99,190.5,68.94604024,137.4384881,,,
RB,0,99,193.04,70.76040972,140.6136347,,,
RB,0,99,195.58,72.5747792,145.1495584,,,
RB,0,99,198.12,74.38914868,148.7782974,,,
RB,0,99,200.66,76.65711053,152.4070363,,,
RB,0,99,203.2,78.47148001,156.4893677,,,
RB,0,99,205.74,80.28584949,160.1181066,,,
RB,0,99,208.28,82.10021897,163.2932532,,,
RD,0,99,142.24,38.55535145,85.27536556,,,
RD,0,99,144.78,39.91612856,87.99691978,,,
RD,0,99,147.32,41.27690567,91.17206637,,,
RD,0,99,149.86,42.63768278,93.89362059,,,
RD,0,99,152.4,43.99845989,97.52235955,,,
RD,0,99,154.94,45.81282937,100.6975061,,,
RD,0,99,157.48,47.17360648,103.8726527,,,
RD,0,99,160.02,48.53438359,107.5013917,,,
RD,0,99,162.56,50.34875307,110.6765383,,,
RD,0,99,165.1,51.70953018,114.3052772,,,
RD,0,99,167.64,53.52389966,117.9340162,,,
RD,0,99,170.18,54.88467677,121.5627552,,,
RD,0,99,172.72,56.69904625,125.1914941,,,
RD,0,99,175.26,58.51341573,128.8202331,,,
RD,0,99,177.8,59.87419284,132.448972,,,
RD,0,99,180.34,61.68856232,136.077711,,,
RD,0,99,182.88,63.5029318,140.1600423,,,
RD,0,99,185.42,65.31730128,144.2423737,,,
RD,0,99,187.96,67.13167076,147.8711126,,,
RD,0,99,190.5,68.94604024,151.953444,,,
RD,0,99,193.04,70.76040972,156.0357753,,,
RD,0,99,195.58,72.5747792,160.1181066,,,
RD,0,99,198.12,74.38914868,164.6540303,,,
RD,0,99,200.66,76.65711053,168.7363616,,,
RD,0,99,203.2,78.47148001,172.818693,,,
RD,0,99,205.74,80.28584949,176.9010243,,,
RD,0,99,208.28,82.10021897,180.5297633,,,
